name,link,price,review_count,review_percentage,game_tags,Review_Category
Supermarket Simulator,https://store.steampowered.com/app/2670630/Supermarket_Simulator/?snr=1_7_7_230_150_3,3.99,34517,92,"['Simulation', 'Economy', 'Management', 'Singleplayer', 'Immersive Sim', 'Multiplayer', 'Trading', 'First-Person', 'Life Sim', 'Building', 'Capitalism', 'Sandbox', '3D', 'Resource Management', 'Casual', 'Realistic', 'Inventory Management', 'Indie', 'Early Access', 'Driving']",25000-100000
Fallout 76,https://store.steampowered.com/app/1151340/Fallout_76/?snr=1_7_7_230_150_3,23.99,57800,79,"['Open World', 'Dark Comedy', 'RPG', 'Post-apocalyptic', 'Multiplayer', 'Capitalism', 'Survival', 'Base Building', 'Co-op', 'Shooter', 'Horror', 'MMORPG', 'Exploration', 'FPS', 'Gore', 'Singleplayer', 'Violent', 'Atmospheric', 'Early Access', 'Great Soundtrack']",25000-100000
Farming Simulator 22,https://store.steampowered.com/app/1248130/Farming_Simulator_22/?snr=1_7_7_230_150_3,19.99,52453,93,"['Simulation', 'Farming Sim', 'Co-op', 'Agriculture', 'Multiplayer', 'Moddable', 'Management', 'Sandbox', '3D', 'First-Person', 'Economy', 'Online Co-Op', 'Open World', 'Immersive Sim', 'Family Friendly', 'Character Customization', 'Nature', 'Horses', 'Third Person', 'America']",25000-100000
Assetto Corsa,https://store.steampowered.com/app/244210/Assetto_Corsa/?snr=1_7_7_230_150_3,10.49,95788,91,"['Racing', 'Automobile Sim', 'Simulation', 'Driving', 'Multiplayer', 'Realistic', 'VR', 'Sports', 'Moddable', 'Open World', 'Controller', 'Singleplayer', 'Physics', 'First-Person', 'Replay Value', 'Indie', 'Action', '3D Vision', 'TrackIR', 'Artificial Intelligence']",25000-100000
Age of Empires IV: Anniversary Edition,https://store.steampowered.com/app/1466860/Age_of_Empires_IV_Anniversary_Edition/?snr=1_7_7_230_150_3,19.99,51079,89,"['Strategy', 'RTS', 'Base Building', 'War', 'Multiplayer', 'Singleplayer', 'Medieval', 'Resource Management', 'City Builder', 'Historical', 'Action RTS', 'PvP', 'PvE', 'Co-op', '3D', 'Isometric', 'Management', 'Open World', 'Online Co-Op', 'Mature']",25000-100000
Dragon's Dogma 2,https://store.steampowered.com/app/2054970/Dragons_Dogma_2/?snr=1_7_7_230_150_3,49.99,61456,60,"['RPG', 'Open World', 'Action RPG', 'Action', 'Fantasy', 'Adventure', 'Singleplayer', 'Dragons', 'Action-Adventure', 'Magic', 'Medieval', 'Swordplay', 'Physics', 'Artificial Intelligence', 'Character Customization', 'Third Person', 'Lore-Rich', 'Multiplayer', '3D', 'PvE']",25000-100000
Microsoft Flight Simulator 40th Anniversary Edition,https://store.steampowered.com/app/1250410/Microsoft_Flight_Simulator_40th_Anniversary_Edition/?snr=1_7_7_230_150_4,59.99,55678,80,"['Simulation', 'Flight', 'Realistic', 'Open World', 'Multiplayer', 'VR', 'Singleplayer', 'Atmospheric', 'Real-Time', 'Physics', 'Adventure', 'Colorful', 'Family Friendly', 'Beautiful', 'TrackIR', 'Surreal', 'Controller', 'Epic', 'Short', 'Psychological Horror']",25000-100000
MONSTER HUNTER RISE,https://store.steampowered.com/app/1446780/MONSTER_HUNTER_RISE/?snr=1_7_7_230_150_4,29.99,61487,85,"['Action', 'RPG', 'Online Co-Op', 'Hunting', 'Multiplayer', 'Character Customization', 'Action RPG', 'Co-op', 'Singleplayer', 'JRPG', 'Third Person', 'PvE', 'Fantasy', 'Anime', '3D', 'Nature', 'Dragons', 'Atmospheric', 'Ninja', 'Story Rich']",25000-100000
Crusader Kings III,https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_230_150_4,29.99,69951,83,"['Strategy', 'Medieval', 'Simulation', 'Grand Strategy', 'RPG', 'Historical', 'Management', 'Character Customization', 'RTS', 'Life Sim', 'Sandbox', 'Choices Matter', 'War', 'Singleplayer', 'Economy', '4X', 'Moddable', 'Political', 'Multiplayer', 'Real-Time with Pause']",25000-100000
NBA 2K24,https://store.steampowered.com/app/2338770/NBA_2K24/?snr=1_7_7_230_150_4,59.99,25882,38,"['Sports', 'Basketball', 'Simulation', 'eSports', '3D', 'Realistic', 'Management', 'PvP', 'Immersive Sim', 'Controller', 'Character Customization', 'Team-Based', 'Trading', 'Co-op', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Online Co-Op', 'Gambling', 'Singleplayer']",25000-100000
ARK: Survival Ascended,https://store.steampowered.com/app/2399830/ARK_Survival_Ascended/?snr=1_7_7_230_150_4,20.99,47912,62,"['Early Access', 'Survival', 'Open World', 'Dinosaurs', 'Multiplayer', 'Adventure', 'Building', 'Action', 'Crafting', 'Base Building', 'Sandbox', 'Character Customization', 'PvP', 'PvE', 'Singleplayer', 'Massively Multiplayer', 'Inventory Management', 'RPG', 'Sci-fi', 'Fantasy']",25000-100000
GUILTY GEAR -STRIVE-,https://store.steampowered.com/app/1384160/GUILTY_GEAR_STRIVE/?snr=1_7_7_230_150_4,19.99,34714,93,"['Fighting', '2D Fighter', 'Anime', 'Great Soundtrack', 'PvP', '2.5D', 'Arcade', 'Lore-Rich', 'Action', '2D', 'Multiplayer', 'Story Rich', '3D', 'Local Multiplayer', 'Fantasy', 'Combat', 'Cinematic', 'Drama', 'Casual', 'LGBTQ+']",25000-100000
Resident Evil 4,https://store.steampowered.com/app/2050650/Resident_Evil_4/?snr=1_7_7_230_150_4,29.99,87031,98,"['Horror', 'Action', 'Survival Horror', 'Third-Person Shooter', 'Zombies', 'Singleplayer', 'Story Rich', 'Survival', 'Cinematic', 'Dark', 'Realistic', 'Remake', 'Resource Management', 'Gore', 'Adventure', '3D', 'Psychological Horror', 'Third Person', 'Violent', 'Action-Adventure']",25000-100000
Detroit: Become Human,https://store.steampowered.com/app/1222140/Detroit_Become_Human/?snr=1_7_7_230_150_4,31.99,97833,96,"['Choices Matter', 'Story Rich', 'Multiple Endings', 'Cinematic', 'Singleplayer', 'Emotional', 'Adventure', 'Sci-fi', 'Robots', 'Futuristic', 'Beautiful', 'Great Soundtrack', 'Atmospheric', 'Third Person', 'Dynamic Narration', 'Replay Value', 'Cyberpunk', 'Narration', 'Female Protagonist', 'Violent']",25000-100000
Cities: Skylines II,https://store.steampowered.com/app/949230/Cities_Skylines_II/?snr=1_7_7_230_150_4,29.99,39360,40,"['Simulation', 'City Builder', 'Building', 'Singleplayer', 'Sandbox', 'Management', 'Economy', 'Strategy', 'Realistic', 'Moddable', 'Relaxing', 'Transportation', 'Resource Management', 'Casual', 'Atmospheric', 'Multiplayer', 'Early Access', 'Open World', 'Great Soundtrack', 'Mod']",25000-100000
Medieval Dynasty,https://store.steampowered.com/app/1129580/Medieval_Dynasty/?snr=1_7_7_230_150_4,17.99,32065,84,"['Multiplayer', 'Co-op', 'Medieval', 'Survival', 'Open World', 'Base Building', 'RPG', 'Singleplayer', 'Atmospheric', 'Simulation', 'Realistic', 'First-Person', 'Adventure', 'Historical', 'Action', 'Management', 'Sandbox', 'Indie', 'Relaxing', 'Horses']",25000-100000
Kenshi,https://store.steampowered.com/app/233860/Kenshi/?snr=1_7_7_230_150_4,14.99,70856,95,"['Open World', 'Sandbox', 'RPG', 'Survival', 'Strategy', 'Building', 'Base Building', 'Singleplayer', 'Post-apocalyptic', 'Crafting', 'City Builder', 'Indie', 'Simulation', 'Adventure', 'Management', 'RTS', 'Ninja', 'Character Customization', 'Alternate History', 'Steampunk']",25000-100000
DEVOUR,https://store.steampowered.com/app/1274570/DEVOUR/?snr=1_7_7_230_150_5,2.99,57011,88,"['Horror', 'Online Co-Op', 'Multiplayer', 'Survival Horror', 'Sexual Content', 'Co-op', 'Psychological Horror', 'Dark', 'Survival', 'First-Person', 'Atmospheric', 'Indie', 'VR', 'Difficult', 'Puzzle', 'Gore', 'Singleplayer', 'Violent', 'Action', 'Stealth']",25000-100000
SnowRunner,https://store.steampowered.com/app/1465360/SnowRunner/?snr=1_7_7_230_150_5,20.99,27575,86,"['Simulation', 'Automobile Sim', 'Adventure', 'Exploration', 'Driving', 'Multiplayer', 'Realistic', 'Sandbox', 'Open World', 'First-Person', 'Third Person', 'Immersive Sim', 'Atmospheric', 'Snow', 'Racing', 'Nature', 'Physics', 'ATV', 'PvE', 'Team-Based']",25000-100000
Metro Exodus,https://store.steampowered.com/app/412020/Metro_Exodus/?snr=1_7_7_230_150_5,22.99,91053,92,"['Post-apocalyptic', 'FPS', 'Open World', 'Singleplayer', 'Story Rich', 'Atmospheric', 'Action', 'First-Person', 'Survival', 'Horror', 'Shooter', 'Stealth', 'Adventure', 'Exploration', 'Survival Horror', 'Great Soundtrack', 'Violent', 'Gore', 'Psychological Horror', 'Sci-fi']",25000-100000
Middle-earth™: Shadow of War™,https://store.steampowered.com/app/356190/Middleearth_Shadow_of_War/?snr=1_7_7_230_150_5,49.99,72077,90,"['Open World', 'Action', 'RPG', 'Fantasy', 'Singleplayer', 'Adventure', 'Third Person', 'Violent', 'Stealth', 'Gore', 'Story Rich', 'War', 'Hack and Slash', 'Action RPG', 'Medieval', 'Dark Fantasy', 'Magic', 'Atmospheric', 'Strategy', 'Great Soundtrack']",25000-100000
Subnautica: Below Zero,https://store.steampowered.com/app/848450/Subnautica_Below_Zero/?snr=1_7_7_230_150_6,14.99,80375,88,"['Open World Survival Craft', 'Survival', 'Underwater', 'Singleplayer', 'Open World', 'Exploration', 'Horror', 'Base Building', 'Adventure', 'Crafting', 'First-Person', 'Survival Horror', 'Aliens', 'Sci-fi', 'Multiplayer', 'Atmospheric', 'Story Rich', 'Early Access', 'Great Soundtrack', 'Sandbox']",25000-100000
Assassin's Creed® Unity,https://store.steampowered.com/app/289650/Assassins_Creed_Unity/?snr=1_7_7_230_150_6,23.99,59811,75,"['Open World', 'Parkour', 'Assassin', 'Co-op', 'Stealth', 'Historical', 'Action', 'Adventure', 'Multiplayer', 'Third Person', 'Online Co-Op', 'Singleplayer', 'Atmospheric', 'Story Rich', 'Great Soundtrack', 'RPG', 'Action RPG', 'Tactical', 'Simulation', 'Beautiful']",25000-100000
Batman™: Arkham Knight,https://store.steampowered.com/app/208650/Batman_Arkham_Knight/?snr=1_7_7_230_150_6,19.99,80252,95,"['Action', 'Open World', 'Superhero', 'Stealth', 'Third Person', 'Adventure', 'Singleplayer', 'Detective', 'Fighting', 'Story Rich', 'Atmospheric', 'Dark', 'Comic Book', ""Beat 'em up"", 'Puzzle', 'Mature', 'Sandbox', 'Horror', 'Strategy', 'Epic']",25000-100000
Total War: WARHAMMER II,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_7_7_230_150_6,49.99,82891,84,"['Strategy', 'Fantasy', 'Turn-Based Strategy', 'RTS', 'Grand Strategy', 'War', 'Multiplayer', 'Games Workshop', 'Action', 'Turn-Based', 'Singleplayer', 'Dark Fantasy', 'Co-op', 'Tactical', 'Real Time Tactics', 'Story Rich', 'Atmospheric', 'Dwarf', 'Dinosaurs', 'Great Soundtrack']",25000-100000
"Warhammer 40,000: Darktide",https://store.steampowered.com/app/1361210/Warhammer_40000_Darktide/?snr=1_7_7_230_150_6,24.99,78240,70,"['Warhammer 40K', 'Gore', 'Online Co-Op', 'Adventure', 'PvE', 'Multiplayer', 'FPS', 'Shooter', 'Hack and Slash', 'Survival Horror', 'Co-op', 'First-Person', 'Character Customization', 'Action', 'Violent', 'Atmospheric', 'Sci-fi', 'Dark Fantasy', 'Looter Shooter', 'Horror']",25000-100000
Northgard,https://store.steampowered.com/app/466560/Northgard/?snr=1_7_7_230_150_6,14.99,46099,77,"['Strategy', 'City Builder', 'Simulation', 'RTS', 'Base Building', 'Colony Sim', 'Building', '4X', 'Economy', 'Tactical', 'War', 'Management', 'PvP', 'Multiplayer', 'Moddable', 'Singleplayer', 'Co-op', 'PvE', 'Vikings', 'Resource Management']",25000-100000
